ticker,empresa,trimestre,total_ativos,total_passivos,patrimonio_liquido,caixa,divida_lp,divida_cp,receita,lucro_bruto,lucro_liquido,ebitda,var_total_ativos_pct,var_patrimonio_liquido_pct,var_caixa_pct,var_receita_pct,var_lucro_liquido_pct,var_ebitda_pct,margem_liquida_calc,margem_ebitda_calc,alavancagem,trimestres_lucro_positivo,saude,saude_texto
AMBP3.SA,AMBIPAR     ON      NM,2024-09-30,14172412000.0,11349780000.0,1765848000.0,3559394000.0,7878872000.0,953902000.0,2121986000.0,395217000.0,30131000.0,519551000.0,,,,,,,1.4199433926519778,24.484186040812713,6.427382198241299,1.0,1,Atenção
AMBP3.SA,AMBIPAR     ON      NM,2024-12-31,14655272000.0,11922718000.0,1628304000.0,2293127000.0,7093209000.0,932561000.0,1610556000.0,260131000.0,75538000.0,658268000.0,3.4070417935916586,-7.789118882259405,-35.57535355737521,-24.101478520593446,150.69861604327767,26.699400058897016,4.690181527373156,40.87209634436803,7.3221695703013685,2.0,1,Atenção
AMBP3.SA,AMBIPAR     ON      NM,2025-03-31,17179562000.0,14723139000.0,1408629000.0,3385356000.0,10234962000.0,1052876000.0,1739754000.0,360366000.0,-190534000.0,485654000.0,17.224450013619673,-13.491031158800816,47.6305498997657,8.021950183663273,-352.23596070851755,-26.222450430523736,-10.95177823991208,27.91509604231403,10.452105557957418,2.0,0,Risco
AMBP3.SA,AMBIPAR     ON      NM,2025-06-30,16918392000.0,14751938000.0,1093325000.0,2616046000.0,9965222000.0,1343840000.0,1770716000.0,305243000.0,-171760000.0,544443000.0,-1.5202366626110742,-22.38375044103167,-22.72464107172185,1.7796768968486365,-9.853359505390113,12.105120106083756,-9.700030947932927,30.747053734195656,13.492729060434911,1.0,0,Risco
AMER3.SA,AMERICANAS  ON      NM,2025-03-31,17377000000.0,12902000000.0,4475000000.0,842000000.0,1777000000.0,499000000.0,2568000000.0,715000000.0,-496000000.0,-37000000.0,,,,,,,-19.314641744548286,-1.440809968847352,2.883128491620112,0.0,0,Risco
AMER3.SA,AMERICANAS  ON      NM,2025-06-30,16175000000.0,11799000000.0,4376000000.0,605000000.0,1833000000.0,502000000.0,3843000000.0,1087000000.0,-98000000.0,525000000.0,-6.917189388271849,-2.2122905027933015,-28.147268408551074,49.64953271028036,-80.24193548387098,-1518.918918918919,-2.5500910746812386,13.661202185792352,2.6962979890310788,0.0,0,Risco
AMER3.SA,AMERICANAS  ON      NM,2025-09-30,16154000000.0,11417000000.0,4737000000.0,404000000.0,1907000000.0,361000000.0,2690000000.0,784000000.0,367000000.0,817000000.0,-0.12982998454404981,8.24954296160878,-33.22314049586777,-30.00260213374968,-474.4897959183673,55.61904761904761,13.643122676579925,30.37174721189591,2.4101752163816763,1.0,1,Atenção
AMER3.SA,AMERICANAS  ON      NM,2025-12-31,16249000000.0,11490000000.0,4759000000.0,879000000.0,1995000000.0,365000000.0,3690000000.0,914000000.0,-44000000.0,548000000.0,0.5880896372415512,0.4644289634790022,117.57425742574257,37.17472118959109,-111.9891008174387,-32.92533659730722,-1.1924119241192412,14.850948509485097,2.4143727673881066,1.0,0,Risco
AMER3.SA,AMERICANAS  ON      NM,2026-03-31,16167000000.0,11737000000.0,4430000000.0,388000000.0,2069000000.0,361000000.0,3088000000.0,834000000.0,-329000000.0,49000000.0,-0.5046464397809092,-6.913217062408073,-55.8589306029579,-16.31436314363144,647.7272727272727,-91.05839416058394,-10.654145077720207,1.5867875647668395,2.649435665914221,1.0,0,Risco
ANIM3.SA,ANIMA       ON      NM,2025-03-31,9965999000.0,7045870000.0,2369748000.0,125352000.0,3936222000.0,354005000.0,1040122000.0,700985000.0,95724000.0,435437000.0,,,,,,,9.203151168805197,41.86403133478573,2.9732570720599827,1.0,1,Atenção
ANIM3.SA,ANIMA       ON      NM,2025-06-30,10000011000.0,7047683000.0,2379050000.0,103150000.0,4019788000.0,371094000.0,1005340000.0,595967000.0,9539000.0,366200000.0,0.34128038744536404,0.39253118897031314,-17.71172378581913,-3.344030796387343,-90.03489198111237,-15.90057803999201,0.948833230548869,36.42548789464261,2.9623938126563125,2.0,1,Atenção
ANIM3.SA,ANIMA       ON      NM,2025-09-30,10090277000.0,7183768000.0,2354428000.0,112989000.0,3886995000.0,532910000.0,1005915000.0,639337000.0,36543000.0,401556000.0,0.9026590070750906,-1.0349509257897016,9.538536112457585,0.05719458093780272,283.09047069923474,9.654833424358266,3.632811917507941,39.919476297699106,3.051173363551572,3.0,1,Atenção
ANIM3.SA,ANIMA       ON      NM,2025-12-31,10173712000.0,7340056000.0,2300465000.0,220007000.0,4175350000.0,456312000.0,972320000.0,597205000.0,-18051000.0,367819000.0,0.8268851291198365,-2.2919791983445625,94.71541477488958,-3.339745405923955,-149.396601264264,-8.401567900865636,-1.8564875761066315,37.829006911304916,3.1906836226588973,2.0,0,Risco
ANIM3.SA,ANIMA       ON      NM,2026-03-31,10556007000.0,7629377000.0,2388887000.0,105086000.0,4024279000.0,607408000.0,1120403000.0,758203000.0,106213000.0,478648000.0,3.757674681571488,3.8436576952920465,-52.23515615412238,15.22986259667598,-688.4050745111074,30.13139614864919,9.47989250296545,42.72105661980555,3.193695222921804,2.0,1,Atenção
ARML3.SA,ARMAC       ON      NM,2025-03-31,4575716000.0,3263279000.0,1263402000.0,470640000.0,2327233000.0,60100000.0,439917000.0,150831000.0,13154000.0,163468000.0,,,,,,,2.9901094979280183,37.15882768795022,2.582930057099799,1.0,1,Atenção
ARML3.SA,ARMAC       ON      NM,2025-06-30,4585303000.0,3304081000.0,1232630000.0,363919000.0,2333031000.0,95393000.0,451467000.0,147599000.0,-6493000.0,142713000.0,0.2095191222532211,-2.435645978081402,-22.67571817100119,2.6254952638793183,-149.3614109776494,-12.69667457851078,-1.4382003557292116,31.610948308514242,2.68051321158823,1.0,0,Risco
ARML3.SA,ARMAC       ON      NM,2025-09-30,4633471000.0,3314075000.0,1271345000.0,512001000.0,2335331000.0,61861000.0,494579000.0,195675000.0,37773000.0,220435000.0,1.050486739916634,3.1408451846864027,40.6909229801137,9.549313681841642,-681.7495764669644,54.4603504936481,7.637404742215097,44.570230438413276,2.6067471850677824,2.0,1,Atenção
ARML3.SA,ARMAC       ON      NM,2025-12-31,5340815000.0,4010477000.0,1279456000.0,239639000.0,2796073000.0,72691000.0,501794000.0,147093000.0,22646000.0,193316000.0,15.265963680359707,0.6379857552434531,-53.195599227345255,1.4588164883668764,-40.0471236068091,-12.302492798330578,4.513007329701033,38.52497239903227,3.134517326113598,2.0,1,Atenção
ARML3.SA,ARMAC       ON      NM,2026-03-31,5628601000.0,4268816000.0,1277803000.0,161967000.0,2832002000.0,236908000.0,451064000.0,121527000.0,-3338000.0,230667000.0,5.388428545081592,-0.12919553310156706,-32.412086513464,-10.10972630202832,-114.73990991786629,19.32121500548325,-0.7400280226309348,51.13841938172854,3.3407465783066717,2.0,0,Risco
ASAI3.SA,ASSAI       ON      NM,2024-12-31,45593000000.0,40338000000.0,5255000000.0,5628000000.0,14481000000.0,2496000000.0,20163000000.0,3418000000.0,430000000.0,1739000000.0,,,,,,,2.13261915389575,8.624708624708624,7.676117982873454,1.0,1,Atenção
ASAI3.SA,ASSAI       ON      NM,2025-03-31,44685000000.0,39300000000.0,5385000000.0,4402000000.0,15070000000.0,1648000000.0,18552000000.0,3066000000.0,117000000.0,1305000000.0,-1.991533788081501,2.473834443387246,-21.78393745557925,-7.989882457967568,-72.79069767441861,-24.956871765382406,0.630659767141009,7.034282018111254,7.298050139275766,2.0,1,Atenção
ASAI3.SA,ASSAI       ON      NM,2025-06-30,44303000000.0,38704000000.0,5599000000.0,4459000000.0,15331000000.0,1705000000.0,19002000000.0,3179000000.0,219000000.0,1548000000.0,-0.8548729998881011,3.974001857010223,1.2948659700136256,2.425614489003891,87.17948717948718,18.620689655172406,1.1525102620776762,8.146510893590149,6.912662975531345,3.0,1,Atenção
ASAI3.SA,ASSAI       ON      NM,2025-09-30,45121000000.0,39401000000.0,5720000000.0,4456000000.0,15354000000.0,1398000000.0,18956000000.0,3182000000.0,152000000.0,1576000000.0,1.846376091912516,2.16110019646365,-0.06727965911639266,-0.24207978107567696,-30.593607305936075,1.8087855297157729,0.8018569318421608,8.313990293310825,6.888286713286713,3.0,1,Atenção
ASAI3.SA,ASSAI       ON      NM,2026-03-31,47199000000.0,41312000000.0,5887000000.0,4366000000.0,14618000000.0,2252000000.0,18638000000.0,3523000000.0,320000000.0,1650000000.0,4.605394383989725,2.9195804195804254,-2.019748653500897,-1.677569107406629,110.52631578947367,4.695431472081224,1.7169224165683012,8.852881210430304,7.017496178019365,3.0,1,Atenção
